Ref,Paper Title,Theme,Subtheme,Domain,Sample Size,Study Design,Study Type,main_contribution,tries_to_help_users_to,process_code,publication_type,year
P204,Towards Automated Content-based Photo Privacy Control in User-Centered Social Networks,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Social Networks,303,NA,Online Experiment,"Propose a novel system, AutoPri, which can automatically detect private photos in a user-specific manner using a detection model based on a multimodal variational autoencoder and pinpoint sensitive regions in private photos with an explainable deep learning-based approach.",determine users' sensitive content items,"managing OSN privacy settings, configuring privacy settings for image sharing",Conference Paper,2022
P205,Towards Change Detection in Privacy Policies with Natural Language Processing,Improving Privacy Policy,Advancing Privacy Policy Assessment,Online Services,-,-,-,"Explore and realise a workflow for comparing two versions of a privacy policy by using machine learning and natural language processing, with the objective of enabling users to compare privacy policies at a sentence level and observe the relevant changes.",get informed about the changes in a privacy policy through simple highlighting,"improving comprehensibility of privacy policies, comparing privacy policies",Conference Paper,2021
P206,Towards Consensus-Based Group Decision Making for Co-Owned Data Sharing in Online Social Networks,Controlling Information Disclosure,Managing Multiparty Privacy,Social Networks,316,Between-subjects design,Online Experiment,Provide a framework in which a consensus-based group decision making process is used in order to take the best decision in co-owned data sharing processes in online social networking,reach consensus in OSNGDM (online social network group decision-making) co-owned data sharing processes,"managing multiparty privacy, resolving privacy conflicts",Journal Article,2020
P207,Towards Displaying Privacy Information with Icons,Improving Privacy Policy,Improving Privacy Policy Visual Presentation,Online Services,90,Within-subjects design,Online Survey,"Design and evaluation of privacy icons as an important means of conveying relevant information about the processing of personal data. 
Such privacy icons, akin to symbols for fire exits or subway stations, aim to visually communicate key privacy policy aspects, enhancing immediate comprehensibility and highlighting crucial data processing issues at a glance.",quick comprehend core aspects of a privacy policy ,"improving comprehensibility of privacy policies, supporting privacy policies with icons",Journal Article,2011
P208,Towards PII-based multiparty access control for photo sharing in Online Social Networks,Controlling Information Disclosure,Managing Multiparty Privacy,Social Networks,30,NA,Online Survey,"Propose an approach to enable collaborative management of shared visual data such as photos in OSNs, by enabling fine-grained, Personally Identifiable Information (PII)-level control.",control individual PIIs for effective conflict resolution,"managing multiparty privacy, resolving privacy conflict",Conference Paper,2017
P209,Towards privacy preserving social recommendation under personalized privacy settings,Controlling Information Disclosure,Managing Privacy Settings,Social Networks,-,-,-,"Propose PrivSR, a novel privacy-preserving social recommendation framework, in which user can model user feedbacks and social relationships privately.",protect sensitive ratings while being able to retain the effectiveness of recommendations,"managing OSN privacy settings, controlling information disclosure",Journal Article,2019
P210,Towards usable client-centric privacy advisory for mobile collaborative applications based on BDDs,Controlling Information Disclosure,Managing Privacy Settings,Software applications,-,-,-,"Introduces a method for dynamically reconfigurable privacy advisory in mobile collaborative settings that prioritises both privacy and usability. It presents a client-centric privacy advisor prototype for collaborative applications based on binary decision diagrams (BDDs), aiming to operate directly on mobile devices without the heavy reliance on server-side processing.",granularly control their privacy preferences,"controlling information disclosure, managing privacy settings",Conference Paper,2011
P211,Towards usable privacy policy display & management,Improving Privacy Policy,Improving Privacy Policy Visual Presentation,Online Services,10,Between-subjects design,Laboratory Experiment,"Presented the ""Send Data?"" prototype, a browser extension designed to simplify privacy policy management using the PrimeLife Policy Language (PPL). the prototype uses visual elements like tables, icons, and colour-coded indicators to clearly present privacy settings and privacy policy mismatches.",state their preferred level of privacy depending on the scenario of the transaction,"managing privacy settings dinamically, presenting visually privacy policy mismatches",Conference Paper,2011
P212,Trend analysis and recommendation of users' privacy settings on social networking services,Controlling Information Disclosure,Managing Privacy Settings,Social Networks,15,NA,Survey,Propose a new framework for assisting SNS users in finding their appropriate privacy settings. It provides privacy score-based assistance and also shows recommendations based on co-occurrences within privacy settings and user categories.,"set up their privacy settings, through trend analysis and recommendation based on collected privacy settings of other users","managing OSN privacy settings, recommending privacy settings, calculating privacy score",Journal Article,2011
P213,Trust-Based Collaborative Privacy Management in Online Social Networks,Controlling Information Disclosure,Managing Multiparty Privacy,Social Networks,-,-,-,Propose a trust-based collaborative privacy management mechanism with a threshold based on which the user makes the final decision on data posting,be more considerate of other users’ privacy,"managing multiparty privacy, considerating others' privacy",Journal Article,2019
P214,Trust-based privacy-preserving photo sharing in online social networks,Controlling Information Disclosure,Managing Multiparty Privacy,Social Networks,-,-,-,Propose a privacy-preserving photo sharing mechanism which utilizes trust values to decide how a photo should be anonymized. The basic idea is to anonymize the original photo so that users who may suffer a high privacy loss from the sharing of the photo cannot be identified from the anonymized photo.,protect the stakeholders’ privacy,"managing multiparty privacy, sharing co-owned photos, anonymising photos when sharing, balancing photo sharing and privacy-preserving.",Conference Paper,2019
P215,UIPDroid: Unrooted Dynamic Monitor of Android App UIs for Fine-Grained Permission Control,Controlling Information Disclosure,Managing App Permissions,Software applications,-,-,-,"Propose a tool named UIPDroid, a new permission manager that informs users when apps use permissions and offers detailed control at the UI widget level to dynamically allow, deny, or fake data per permission. It operates without needing root access, running on a virtualisation framework for straightforward installation as a regular app.",improve their privacy awareness and protection,"managing app permission requests, raising privacy awareness",Conference Paper,2022
P216,ULPT: A User-Centric Location Privacy Trading Framework for Mobile Crowd Sensing,Controlling Information Disclosure,Managing Privacy Settings,Internet of Things,-,-,-,"Construct a user-centric location privacy trading framework (ULPT) for mobile crowd sensing (MCS) with an auction approach, where the platform provides incentives to motivate workers to complete sensing tasks and each worker can decide how much location privacy to disclose to the platform in an MCS task based on its own location privacy leakage budget.","choose how much privacy to disclose to the platform, in trade of different monetary reward","controlling information disclosure, managing location privacy settings, trading privacy",Journal Article,2021
P217,Unwinding Ariadne's identity thread: Privacy risks with fitness trackers and Online Social Networks,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Internet of Things,8,NA,Semi-structured interview,"Present a identity-exposure tool that seeks to determine the leakage of information related to users’ identity resulting from their engagement with wearable IoT devices, in particular fitness-trackers and OSNs, in parallel","better assess their online digital footprints - thus, they will be more capable of making informed privacy decisions","raising privacy awareness, making informed decision, deriving privacy risk",Conference Paper,2017
P218,User-Centric Privacy for Identity Federations Based on a Recommendation System,Controlling Information Disclosure,Managing Privacy Settings,Online Services,151,NA,Online Survey,"Propose a new model based on a recommendation system, the Privacy Advisor, which is a decision support system to assist end-users when selecting service providers or choosing their privacy settings within identity federations. It can provide personalised privacy recommendations based on real-time data collection about the assessed providers",know their privacy is affected when using a service provider (an RP) within an identity federation.,"recommending sharing decisions, raising privacy awareness, supporting users in selecting services",Journal Article,2022
P219,User-Controllable Learning of Security and Privacy Policies,Controlling Information Disclosure,Managing Privacy Settings,Online Services,100,NA,Field Study,"Introduced is a user controllable policy learning approach where users and the system refine policies together through incremental adjustments and feedback on a shared model, enabling the system to learn and suggest policy improvements based on user feedback.",retain control and make policy modifications by hand,"controlling information disclosure, managing privacy settings, recommending privacy settings",Conference Paper,2008
P220,User-friendly privacy-preserving photo sharing on online social networks,Controlling Information Disclosure,Managing Privacy Settings,Social Networks,330,Between-subjects design,Laboratory Experiment,"Propose VPMP (Visual Privacy Management Policy), a solution for protecting the privacy of shared photos on OSNs.
This solution enhances photo-sharing privacy on OSNs by utilising a social graph and circles for visual representation, offering users a clear and efficient method to manage their privacy settings.",determine their privacy preferences easily and increase the awareness of the implications of their privacy preferences when users share their uploaded photos with others,"managing OSN privacy settings, configuring privacy settings for image sharing, raising privacy awareness",Journal Article,2020
P221,VeilMe: An interactive visualization tool for privacy configuration of using personality traits,Controlling Information Disclosure,Managing Privacy Settings,Social Networks,124,Between-subjects design,Online Experiment,"Present the design, development, and evaluation of an interactive visualization tool, VeilMe, which helps users configure the privacy settings for the use of their personality portraits derived from social media","jump start their privacy settings by suggesting initial sharing strategies based on a set of factors, including the users’ personality and target audience","managing OSN privacy settings,  suggesting initial sharing strategies",Conference Paper,2015
P222,Visual configuration of mobile privacy policies,Controlling Information Disclosure,Managing App Permissions,Software applications,10,Between-subjects design,Laboratory Experiment,Refine privacy enforcement by letting the user configure privacy preferences through a visual interface that captures the application’s screens enriched with privacy-relevant information. The approach is implemented for Android as the VisiDroid system.,understand and manage usage of private information for advertising/analytics via a accessible interface,managing app permission requests,Journal Article,2017
P223,Visual interactive privacy policy: The better choice?,Improving Privacy Policy,Improving Privacy Policy Visual Presentation,Online Services,90,Between-subjects design,Online Experiment,"Develop design guidelines and a Visual Interactive Privacy Policy based on the Privacy Policy Nutrition Label enriched with control options and further interactive elements, such as mouse-over help icons , expandable rows, clickable cells for optional explanations and further information as well as examples.",protect their privacy interests and making informed decisions,"improving comprehensibility of privacy policies, making informed decision, improving visual presentation of privacy policies",Conference Paper,2021
P224,Visualizing Exports of Personal Data by Exercising the Right of Data Portability in the Data Track - Are People Ready for This?,Raising Privacy Awareness,Visualising Disclosed Information,Online Services,10,NA,Semi-structured interview,"Presentation and user evaluation of a transparency-enhancing tool called Data Track, which shows users what data they have disclosed to which service providers under what agreed-upon policies and how their data have been processed.",see what data she have disclosed,"raising privacy awareness, visualising past personal data disclosures",Journal Article,2016
P225,Visualizing Past Personal Data Disclosures,Raising Privacy Awareness,Visualising Disclosed Information,Online Services,26,NA,Task Analysis,"Introduction of a usable Data Disclosure Log component that records and visualises past personal data disclosures within a user-centric privacy architecture. A browser-based logging extension provides a visualisation tool that dynamically displays past personal data disclosures and their relationships, empowering users with the knowledge to revise or revoke personal data transactions ex post.",know the conditions of past personal data transactions at any time,visualising past personal data disclosures,Conference Paper,2010
P226,Visualizing privacy risks of mobile applications through a privacy meter,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Software applications,36,Between-subjects design,Laboratory Experiment,Propose a new warning display mechanism called the ‘privacy meter’ to warn users about potentially dangerous permissions (requested by an app).,interpret and understand privacy easily,"raising privacy awareness, managing app permission requests, warning privacy risk",Journal Article,2015
P227,Visualizing social roles - Design and evaluation of a bird's-eye view of social network privacy settings,Raising Privacy Awareness,Visualising Disclosed Information,Social Networks,32,Within-subjects design,Laboratory Experiment,"Introduce the Access Policy Grid (APG), a visualisation of SNS visibility permissions to improve privacy awareness. It offers a bird's-eye view of defined privacy settings that allows identifying social roles and enabling users to understand how they are seen by different groups of contacts.",increase privacy awareness,"raising privacy awareness,  visualising defined OSN privacy settings, visualising how one is seen by contacts",Conference Paper,2014
P228,What About My Privacy?Helping Users Understand Online Privacy Policies,Improving Privacy Policy,Improving Privacy Policy Readability,Online Services,65,Between-subjects design,Remote moderated experiment,Present a concept implemented as a web extension to support the end-user in dealing with privacy policies by providing easier access and visual explanations to privacy-related information,find a privacy policy faster and also support users to better comprehend the relevant information. ,"improving comprehensibility of privacy policies, parsing privacy policies, improving information-seeking experience",Conference Paper,2022
P229,What Websites know about you,Improving Privacy Policy,Improving Privacy Policy Readability,Online Services,-,-,-,"Describe a solution, based on Information Extraction (IE) techniques, to extract the list of data collected by a website, according to what it is stated in its privacy policy",see what data is collected without reading the privacy policy,"improving comprehensibility of privacy policies, parsing privacy policies, supporting the reading of privacy policies",Conference Paper,2012
P230,“When and where do you want to hide?” – Recommendation of location privacy preferences with local differential privacy,Controlling Information Disclosure,Managing Privacy Settings,Software applications,-,-,-,Propose a location privacy preference recommendation system that uses matrix factorisation and achieves privacy protection by local differential privacy.  The system offers suggestions for unknown place-time combinations based on user-specified settings while ensuring protection against potential data extraction by attackers on untrusted servers.,prevent privacy risks by obfuscating location information,"recommending privacy settings, managing location privacy settings",Journal Article,2019
P231,When Privacy Meets Usability: Unobtrusive Privacy Permission Recommendation System for Mobile Apps Based on Crowdsourcing,Controlling Information Disclosure,Managing App Permissions,Software applications,382,NA,Online Survey,"Present a crowdsource-based recommendation system for smartphone users to set their privacy permissions. The system learns user privacy preferences and expectations from their app settings, recommends permission settings based on user similarities, and offers users the option to agree, reject, or agree once when apps request data access.",preserve their sensitive data and maintain the apps’ usability,"recommending privacy settings, managing app permission request",Journal Article,2018
P232,Who is Visible: Resolving Access Policy Conflicts in Online Social Networks,Controlling Information Disclosure,Managing Multiparty Privacy,Social Networks,25,NA,Laboratory Experiment,"Propose a communication-intensity-based scheme to measure the social intimacies between the visitor and co-owners of the accessed item. Based on the social intimacies, it can provide decision support when conflicts occur.",minimise the privacy risks while maintaining the maximum utility.,"managing multiparty privacy, resolving privacy conflicts, minimising privacy risks",Conference Paper,2017
